City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Saint George,US,2021-04-19 14:07:54,37.1041,-113.5841,50.0,22,1,6.91
114,Kropotkin,RU,2021-04-19 14:07:54,45.4375,40.5756,55.0,95,100,4.97
115,Faanui,PF,2021-04-19 14:07:55,-16.4833,-151.75,81.82,71,10,13.04
116,Saint-Philippe,RE,2021-04-19 14:07:55,-21.3585,55.7679,77.0,88,90,17.27
117,Ponta Do Sol,PT,2021-04-19 14:07:55,32.6667,-17.1,71.6,60,20,13.8
118,High Level,CA,2021-04-19 14:07:56,58.5169,-117.136,24.8,86,1,3.44
119,America Dourada,BR,2021-04-19 14:07:56,-11.4553,-41.4361,87.71,42,53,4.07
120,Bengkulu,ID,2021-04-19 14:07:56,-3.8004,102.2655,78.44,80,100,2.53
121,Kuytun,RU,2021-04-19 14:07:57,54.3419,101.5036,37.13,55,100,21.9
122,Kindu,CD,2021-04-19 14:07:57,-2.95,25.95,79.07,85,98,4.43
123,Betsiamites,CA,2021-04-19 14:07:57,48.9413,-68.646,44.6,53,1,4.61
124,Kalmunai,LK,2021-04-19 14:07:57,7.4167,81.8167,82.69,76,100,10.63
125,Zonguldak,TR,2021-04-19 14:07:58,41.25,31.8333,51.8,100,75,2.3
126,Beringovskiy,RU,2021-04-19 14:07:58,63.05,179.3167,16.23,97,43,4.79
127,Katsuura,JP,2021-04-19 14:07:58,35.1333,140.3,59.0,67,20,3.44
128,Puerto Carreno,CO,2021-04-19 14:07:59,6.189,-67.4859,86.4,50,89,9.71
129,Yar-Sale,RU,2021-04-19 14:07:59,66.8333,70.8333,20.46,94,100,17.98
130,Sawakin,SD,2021-04-19 14:03:22,19.1059,37.3321,86.74,54,0,7.63
131,Strelka,RU,2021-04-19 14:08:00,58.0728,93.0344,19.35,81,100,17.36
132,Yarada,IN,2021-04-19 14:08:00,17.65,83.2667,86.0,79,40,6.91
133,Vila Franca Do Campo,PT,2021-04-19 14:08:00,37.7167,-25.4333,64.4,88,20,11.5
134,San Quintin,MX,2021-04-19 14:08:00,30.4833,-115.95,60.78,58,0,3.31
135,Lavrentiya,RU,2021-04-19 14:08:01,65.5833,-171.0,18.95,81,93,6.91
136,Hofn,IS,2021-04-19 14:08:01,64.2539,-15.2082,42.8,61,20,13.8
137,Upernavik,GL,2021-04-19 14:08:01,72.7868,-56.1549,9.99,67,91,4.72
138,Springfield,US,2021-04-19 14:08:02,37.2153,-93.2982,52.0,62,1,8.05
139,Kalmar,SE,2021-04-19 14:08:02,56.6616,16.3616,53.6,58,0,12.66
140,Faya,SA,2021-04-19 14:08:02,18.3851,42.4509,75.2,32,75,13.8
141,Umba,RU,2021-04-19 14:08:03,66.6871,34.3429,43.18,84,27,5.66
142,Paragominas,BR,2021-04-19 14:08:03,-2.9667,-47.4833,75.88,91,99,3.71
143,Sao Jose Da Coroa Grande,BR,2021-04-19 14:08:03,-8.8978,-35.1478,83.48,68,49,7.27
144,Camargo,MX,2021-04-19 14:08:04,27.6667,-105.1667,54.64,48,2,7.11
145,Guerrero Negro,MX,2021-04-19 14:08:04,27.9769,-114.0611,59.41,86,0,6.91
146,Stornoway,GB,2021-04-19 14:08:04,58.2093,-6.3865,46.99,93,90,25.32
147,Yairipok,IN,2021-04-19 14:08:05,24.6667,94.0667,69.8,78,20,2.3
148,Talnakh,RU,2021-04-19 14:08:05,69.4865,88.3972,-7.6,99,21,3.06
149,Yaan,NG,2021-04-19 14:08:05,7.3833,8.5667,96.31,36,12,9.15
150,Sorland,NO,2021-04-19 14:08:05,67.667,12.6934,46.4,76,0,11.5
151,Komsomolskiy,UZ,2021-04-19 14:08:06,40.4272,71.7189,69.8,30,100,4.61
152,Bethel,US,2021-04-19 14:08:06,41.3712,-73.414,61.0,39,1,3.27
153,Hervey Bay,AU,2021-04-19 14:08:06,-25.2986,152.8535,64.99,81,0,4.0
154,Geraldton,AU,2021-04-19 14:08:07,-28.7667,114.6,66.2,72,0,16.11
155,Bara,NG,2021-04-19 14:08:07,10.3744,10.7288,105.01,13,89,2.53
156,San Rafael Del Sur,NI,2021-04-19 14:08:07,11.8485,-86.4384,82.4,78,40,4.61
157,Doha,QA,2021-04-19 14:03:42,25.2867,51.5333,93.99,24,0,11.5
158,Olga,RU,2021-04-19 14:08:08,43.7444,135.2892,48.45,51,0,5.48
159,Aykhal,RU,2021-04-19 14:08:08,66.0,111.5,-1.3,99,82,3.09
160,Vilyuysk,RU,2021-04-19 14:08:08,63.7553,121.6247,-1.34,99,79,3.62
161,Lasa,IT,2021-04-19 14:08:09,46.6166,10.7002,62.6,49,40,8.05
162,Lagoa,PT,2021-04-19 14:08:09,39.05,-27.9833,61.77,80,97,6.55
163,Golkoy,TR,2021-04-19 14:08:09,40.6875,37.6178,55.4,100,75,8.05
164,Muros,ES,2021-04-19 14:08:10,42.7762,-9.0603,66.0,63,82,4.97
165,Morondava,MG,2021-04-19 14:08:10,-20.2833,44.2833,80.55,70,98,10.76
166,Lamu,KE,2021-04-19 14:08:10,-2.2717,40.902,84.2,70,20,19.57
167,Grand Gaube,MU,2021-04-19 14:08:10,-20.0064,57.6608,81.0,79,10,7.0
168,Nizhniy Odes,RU,2021-04-19 14:08:11,63.6445,54.856,37.2,53,27,6.15
169,Kirkwall,GB,2021-04-19 14:08:11,58.9848,-2.9587,53.6,62,0,16.11
170,Verkhoyansk,RU,2021-04-19 14:08:11,67.5447,133.385,8.78,89,100,3.22
171,Livingston,GB,2021-04-19 14:08:12,55.9029,-3.5226,62.6,39,0,10.36
172,Grindavik,IS,2021-04-19 14:08:12,63.8424,-22.4338,35.6,75,75,27.63
173,Vestmannaeyjar,IS,2021-04-19 14:08:12,63.4427,-20.2734,39.2,81,40,14.97
174,San Cristobal,VE,2021-04-19 14:08:12,7.7669,-72.225,84.2,39,40,11.5
175,Sambava,MG,2021-04-19 14:08:13,-14.2667,50.1667,79.29,84,10,14.81
176,Kidal,ML,2021-04-19 14:08:13,18.4411,1.4078,104.09,6,11,9.6
177,Butaritari,KI,2021-04-19 14:08:13,3.0707,172.7902,83.19,75,45,12.1
178,Vila Velha,BR,2021-04-19 14:08:14,-20.3297,-40.2925,80.01,83,40,10.36
179,Constitucion,CL,2021-04-19 14:08:14,-35.3333,-72.4167,61.41,69,20,6.17
180,Manaus,BR,2021-04-19 14:08:15,-3.1019,-60.025,84.2,78,75,2.3
181,Wanning,CN,2021-04-19 14:08:15,18.8003,110.3967,76.87,89,100,8.57
182,Sebring,US,2021-04-19 14:08:15,27.4956,-81.4409,73.4,88,75,3.44
183,Saint-Augustin,CA,2021-04-19 14:08:16,51.226,-58.6502,40.37,88,100,18.23
184,Rio Grande,BR,2021-04-19 14:08:16,-32.035,-52.0986,75.2,60,40,5.75
185,Prainha,BR,2021-04-19 14:08:16,-1.8,-53.48,80.69,74,100,0.87
186,Sept-Iles,CA,2021-04-19 14:05:05,50.2001,-66.3821,51.8,37,28,3.44
